city,lat,long,population
Kyiv,50.45,30.5236,2963199
Kharkiv,50,36.2292,1446107
Odesa,46.4775,30.7326,1017699
Dnipro,48.45,34.9833,1002111
Donetsk,48.0089,37.8042,929063
Zaporizhzhia,47.8378,35.1383,741717
Lviv,49.8419,24.0315,724314
Kryvyi Rih,47.9086,33.3433,629695
Mykolaiv,46.9667,32,498748
Mariupol,47.1306,37.5639,449498
Sevastopol,44.6,33.5333,428753
Luhansk,48.5833,39.3333,417990
Vinnytsia,49.2372,28.4672,371855
Makiivka,48.0556,37.9611,347376
Simferopol,44.9484,34.1,341799
Poltava,49.5744,34.5686,317847
Chernihiv,51.4939,31.2947,294522
Kherson,46.6333,32.6,291428
Cherkasy,49.4444,32.0597,276360
Khmelnytskyi,49.42,27,274176
Zhytomyr,50.2544,28.6578,266936
Chernivtsi,48.2908,25.9344,266550
Sumy,50.9068,34.7992,265758
Horlivka,48.3336,38.0925,256714
Rivne,50.6197,26.2514,245630
Ivano-Frankivsk,48.9228,24.7106,236602
Kamianske,48.5076,34.6132,235066
Kremenchuk,49.0775,33.4239,234073
Kropyvnytskyi,48.5103,32.2667,227413
Ternopil,49.5667,25.6,218653
Lutsk,50.7478,25.3244,216505
Bila Tserkva,49.7956,30.1167,208944
Kramatorsk,48.7208,37.5556,159445
Melitopol,46.8333,35.3667,154992
Sievierodonetsk,48.95,38.4833,150000
Drohobych,49.35,23.5,124269
Khrustalnyi,48.1214,38.9453,124000
Uzhhorod,48.6239,22.295,114897
Berdiansk,46.7598,36.7845,114205
Sloviansk,48.87,37.625,113196
Nikopol,47.5772,34.3575,112102
Yevpatoriia,45.2,33.3583,106158
Pavlohrad,48.52,35.87,106082
Alchevsk,48.4672,38.7983,105398
Konotop,51.2369,33.2027,103547
Brovary,50.5114,30.7903,102856
Kamianets-Podilskyi,48.6806,26.5806,100462
Lysychansk,48.9169,38.4306,96161
Dovzhansk,48.0846,39.6516,95153
Mukacheve,48.4414,22.7136,86257
Uman,48.75,30.2167,82762
Yalta,44.4994,34.1553,79458
Yenakiieve,48.2311,38.2053,79348
Shostka,51.8657,33.4766,76788
Berdychiv,49.8919,28.6,76229
Bakhmut,48.6044,38.0067,75798
Stakhanov,48.5472,38.6361,75745
Nizhyn,51.05,31.9,73283
Kostiantynivka,48.5333,37.7167,72888
Izmail,45.35,28.8333,71594
Novomoskovsk,48.6328,35.2239,70749
Nova Kakhovka,46.7667,33.3667,69280
Kovel,51.2167,24.7167,69089
Smila,49.2167,31.8667,68536
Kalush,49.0442,24.3597,66406
Korosten,50.95,28.65,63525
Pokrovsk,48.2833,37.1833,63437
Boryspil,50.35,30.95,62281
Kolomyia,48.5167,25.0333,61269
Rubizhne,49.0167,38.3667,59951
Chornomorsk,46.3017,30.6569,59800
Khartsyzk,48.0333,38.15,59763
Druzhkivka,48.6203,37.5278,59400
Stryi,49.25,23.85,59325
Bilhorod-Dnistrovskyi,46.1833,30.3333,57210
Irpin,50.5167,30.25,56806
Novohrad-Volynskyi,50.5833,27.6333,56288
Lozova,48.8892,36.3161,55827
Antratsyt,48.1167,39.0833,54640
Enerhodar,47.4989,34.6558,53567
Pryluky,50.6,32.4,53395
Novovolynsk,50.7333,24.1667,52188
Horishni Plavni,49.0107,33.6562,52167
Myrnohrad,48.3022,37.2614,50360
Shakhtarsk,48.0333,38.4833,49482
